Well	MD	Size	Volume
		mm	%
WELL-003	1725	2.1	65.5
WELL-003	1725	2.3	67.2
WELL-003	1725	2.2	66.8
WELL-003	1725	2.4	68.1
WELL-003	1725	2.2	67.0
WELL-003	1725	2.5	69.5
WELL-003	1725	2.3	68.3
WELL-003	1725	2.1	66.5
WELL-003	1725	2.4	68.8
WELL-003	1725	2.2	67.1
WELL-003	1725	2.3	68.0
WELL-001	1500	2.1	65.5
WELL-001	1500	2.3	67.2
WELL-001	1500	2.2	66.8
WELL-001	1500	2.4	68.1
WELL-001	1500	2.2	67.0
WELL-001	1500	2.5	69.5
WELL-001	1500	2.3	68.3
WELL-001	1500	2.1	66.5
WELL-001	1500	2.4	68.8
WELL-001	1500	2.2	67.1
WELL-001	1500	2.3	68.0
WELL-002	1650.5	2.1	65.5
WELL-002	1650.5	2.3	67.2
WELL-002	1650.5	2.2	66.8
WELL-002	1650.5	2.4	68.1
WELL-002	1650.5	2.2	67.0
WELL-002	1650.5	2.5	69.5
WELL-002	1650.5	2.3	68.3
WELL-002	1650.5	2.1	66.5
WELL-002	1650.5	2.4	68.8
WELL-002	1650.5	2.2	67.1
WELL-002	1650.5	2.3	68.0
