Well|MD (m)|Amostra|Size (mm)|Volume (%)
|m||mm|%
WELL-003|1725|Sample-C1|2.10|65.50
WELL-003|1725|Sample-C1|2.30|67.20
WELL-003|1725|Sample-C1|2.20|66.80
WELL-003|1725|Sample-C1|2.40|68.10
WELL-003|1725|Sample-C1|2.20|67.00
WELL-003|1725|Sample-C1|2.50|69.50
WELL-003|1725|Sample-C1|2.30|68.30
WELL-003|1725|Sample-C1|2.10|66.50
WELL-003|1725|Sample-C1|2.40|68.80
WELL-003|1725|Sample-C1|2.20|67.10
WELL-003|1725|Sample-C1|2.30|68.00
WELL-001|1500|Sample-A1|2.10|65.50
WELL-001|1500|Sample-A1|2.30|67.20
WELL-001|1500|Sample-A1|2.20|66.80
WELL-001|1500|Sample-A1|2.40|68.10
WELL-001|1500|Sample-A1|2.20|67.00
WELL-001|1500|Sample-A1|2.50|69.50
WELL-001|1500|Sample-A1|2.30|68.30
WELL-001|1500|Sample-A1|2.10|66.50
WELL-001|1500|Sample-A1|2.40|68.80
WELL-001|1500|Sample-A1|2.20|67.10
WELL-001|1500|Sample-A1|2.30|68.00
WELL-002|1650.5|Sample-B1|2.10|65.50
WELL-002|1650.5|Sample-B1|2.30|67.20
WELL-002|1650.5|Sample-B1|2.20|66.80
WELL-002|1650.5|Sample-B1|2.40|68.10
WELL-002|1650.5|Sample-B1|2.20|67.00
WELL-002|1650.5|Sample-B1|2.50|69.50
WELL-002|1650.5|Sample-B1|2.30|68.30
WELL-002|1650.5|Sample-B1|2.10|66.50
WELL-002|1650.5|Sample-B1|2.40|68.80
WELL-002|1650.5|Sample-B1|2.20|67.10
WELL-002|1650.5|Sample-B1|2.30|68.00
